Tail_number,Summary,Owner,Airworthiness_Class,Serial_Number,Engine,Weight,Speed,Mode_S_Code,Status,Certificate_Issue_Date,Airworthiness_Date,Last_Action_Date,Expiration,Registry_Source
N145NE,2016 AIRBUS HELICOPTERS DEUTSCHLAND MBB-BK 117 D-2Rotorcraft(11 seats / 2 engines),"NEW ENGLAND LIFE FLIGHT INC DBABEDFORD, MA, US(Corporation)",Standard/Transport,20098,SAFRANARRIEL2E(Turbo-shaft)Horsepower:894,"Less than 12,500lbs",Not defined,050133164 / A0B674,Assigned,2018-01-17,2017-06-08,2021-01-05,2024-01-31,FAA
N6015,1968 MINI-ACE CA-61Fixed wing single engine(1 seats / 1 engine),"FITZGERALD JAMES EBURLINGTON, MA, US(Co-owned)",Experimental,JEFAOP-1,CONTMOTORA&C65SERIES(Reciprocating)Horsepower:65,"Less than 12,500lbs",82mph,051746775 / A7CDFD,Unknown,1970-10-14,,1977-01-14,,FAA
N6025,,,,,,,,,,,,,,
N6036, MESSERSCHMITT ME 109 C4KFixed wing single engine(1 seats / 1 engine),"BANK OF UTAH TRUSTEESALT LAKE CITY, UT, US(Corporation)",Unknown/Unknown,145,(Reciprocating),"Less than 12,500lbs",121mph,051752616 / A7D58E,Assigned,2015-11-12,,2015-11-12,2018-11-30,FAA
N605CF,2006 AGUSTA SPA A119Rotorcraft(8 seats / 1 engine),"TRI-STATE CAREFLIGHT LLCGREENWOOD VILLAGE, CO, US",Standard/Normal,14058,P&WCANADAPT6B-37A(Turbo-shaft)Horsepower:900,"Less than 12,500lbs",Not defined,051755012 / A7DA0A,Assigned,2013-10-22,2012-12-21,2019-05-15,2022-10-31,FAA
NC6004,,,,,,,,,,,,,,
NC6005,,,,,,,,,,,,,,
NC6010,,,,,,,,,,,,,,
NC6021,,,,,,,,,,,,,,
NC6034,,,,,,,,,,,,,,
NC6037,,,,,,,,,,,,,,
NC6039,,,,,,,,,,,,,,
NC6532,,,,,,,,,,,,,,
NC6573,,,,,,,,,,,,,,
N101AE,1980 BELL HELICOPTER TEXTRON 206L-1Rotorcraft(7 seats / 1 engine),"AIR EVAC EMS INCO FALLON, MO, US(Corporation)",Standard/Normal,45454,ALLISON250SER250HP(Turbo-shaft)Horsepower:250,"Less than 12,500lbs",Not defined,050004160 / A00870,Unknown,2005-10-26,1980-06-23,2018-03-16,2021-07-31,FAA
